Order ID,Order Date,Ship Date,Customer Name,Segment,Region,Category,Sub-Category,Sales,Quantity,Discount,Profit
ORD-19509,09-02-2022,10-02-2022,John Martinez,Consumer,West,Office Supplies,Labels,473.98,2,0,96.26
ORD-13253,22-01-2023,25-01-2023,John Brown,Consumer,West,Technology,Phones,70.6,1,0.5,-17.81
ORD-17544,13-02-2023,16-02-2023,Anna Lee,Consumer,West,Furniture,Tables,677.76,2,0.15,-297.06
ORD-18372,01-09-2022,03-09-2022,Priya Rodriguez,Consumer,West,Furniture,Bookcases,840.34,2,0.4,-268.18
ORD-16956,11-02-2024,16-02-2024,John Lewis,Corporate,West,Office Supplies,Storage,44.81,1,0.1,7.34
ORD-10608,05-06-2023,08-06-2023,John Patel,Consumer,West,Office Supplies,Binders,272.32,2,0.1,63.21
ORD-14310,22-11-2024,24-11-2024,Anna Martinez,Consumer,East,Office Supplies,Labels,206.03,1,0,60.89
ORD-16417,27-04-2024,28-04-2024,Grace Davis,Corporate,Central,Office Supplies,Art,38.96,1,0.15,7.68
ORD-16051,17-05-2022,21-05-2022,Tom Brown,Consumer,East,Furniture,Furnishings,1615.43,2,0.1,66.43
ORD-18008,05-07-2023,06-07-2023,Priya Walker,Corporate,West,Technology,Accessories,374.15,1,0.1,36.29
ORD-13150,07-09-2023,08-09-2023,John Chen,Consumer,East,Office Supplies,Labels,95.8,1,0,26.15
ORD-14980,15-09-2024,16-09-2024,Kevin Chen,Corporate,East,Office Supplies,Labels,578.33,3,0.2,20.25
ORD-11285,21-08-2022,23-08-2022,Priya Martinez,Corporate,East,Furniture,Tables,2578.25,5,0,-358.75
ORD-11670,22-10-2024,26-10-2024,Tom Davis,Home Office,West,Furniture,Furnishings,3112.13,6,0.2,-139.56
ORD-17508,02-11-2022,,Sara Lee,Consumer,Central,Office Supplies,Art,199.52,1,0,52.35
ORD-11661,13-10-2022,17-10-2022,Maria Lee,Consumer,West,Office Supplies,Labels,346,4,0.1,54.76
ORD-14096,02-10-2023,07-10-2023,Mohammed Wilson,Corporate,South,Technology,Copiers,1730.72,1,0,502.85
ORD-18126,11-11-2022,12-11-2022,Fatima Garcia,Consumer,East,Technology,Phones,4437.61,6,0.15,679.04
ORD-15523,16-06-2023,17-06-2023,Wei Young,Consumer,West,Furniture,Bookcases,1975.75,4,0.1,-78.17
ORD-17197,08-02-2023,12-02-2023,Sara Walker,Consumer,West,Furniture,Chairs,615.24,1,0.15,3.38
ORD-10672,01-12-2024,05-12-2024,Mohammed Chen,Consumer,Central,Office Supplies,Art,1367.28,6,0,245.84
ORD-19494,24-04-2023,26-04-2023,Anna Smith,Consumer,East,Office Supplies,Labels,394.32,2,0,120
ORD-16626,04-12-2022,05-12-2022,Nina Rodriguez,Consumer,Central,Technology,Copiers,3404.14,2,0.1,852.11
ORD-19410,12-01-2024,16-01-2024,Tom Walker,Consumer,West,Office Supplies,Storage,151.68,4,0,25.49
ORD-18037,14-10-2023,16-10-2023,Carlos Smith,Consumer,Central,Office Supplies,Envelopes,301.57,6,0.4,-5.41
ORD-11329,11-01-2024,15-01-2024,Kevin Martinez,Home Office,West,Office Supplies,Labels,78.54,1,0,6.34
ORD-15936,10-09-2022,11-09-2022,Priya Smith,Consumer,South,Technology,Phones,4676.16,5,0.2,-951.92
ORD-18597,11-03-2022,12-03-2022,Anna Brown,Consumer,South,Technology,Accessories,2228.4,5,0,31.51
ORD-16907,03-12-2022,10-12-2022,Nina Clark,Corporate,South,Furniture,Chairs,1737.02,4,0.2,236.2
ORD-17301,07-05-2023,09-05-2023,Nina Patel,Consumer,Central,Office Supplies,Art,46.57,1,0.15,1.04
ORD-15116,16-10-2024,19-10-2024,Sara Martinez,Home Office,West,Technology,Phones,3071.4,3,0.3,-535.7
ORD-16799,04-01-2023,07-01-2023,Carlos Davis,Consumer,Central,Technology,Copiers,497.98,1,0.5,-182.42
ORD-13427,19-05-2022,22-05-2022,Kevin Smith,Corporate,South,Office Supplies,Binders,44.56,2,0.15,-4.41
ORD-16846,06-07-2022,09-07-2022,Wei Garcia,Consumer,South,Office Supplies,Labels,93.15,2,0.1,18.71
ORD-13730,13-03-2024,15-03-2024,Fatima Khan,Corporate,Central,Office Supplies,Paper,126.25,1,0.15,-6.55
ORD-19331,12-12-2023,,Anna Johnson,Home Office,South,Technology,Machines,1122.12,5,0.4,65
ORD-11797,20-06-2023,24-06-2023,Kevin Patel,Consumer,East,Technology,Machines,2128.48,4,0.3,366.01
ORD-12383,18-10-2022,20-10-2022,Kevin Clark,Corporate,Central,Furniture,Tables,1342.03,2,0.3,-271.63
ORD-14666,12-04-2023,15-04-2023,Maria Brown,Consumer,South,Technology,Copiers,1422.06,1,0.2,166.44
ORD-12928,09-03-2024,13-03-2024,James Davis,Consumer,West,Technology,Copiers,8339.65,5,0.15,2642.95
ORD-11874,04-05-2023,09-05-2023,Nina Khan,Consumer,West,Technology,Copiers,684.19,1,0,202.56
ORD-11298,24-04-2022,26-04-2022,Tom Lewis,Home Office,East,Office Supplies,Binders,215.84,4,0,35.33
ORD-11137,10-09-2022,12-09-2022,Mohammed Garcia,Consumer,West,Furniture,Furnishings,1903.09,2,0.1,-141.9
ORD-16654,18-08-2024,21-08-2024,Maria Johnson,Corporate,East,Office Supplies,Storage,244.46,3,0.1,36.62
ORD-18907,06-01-2022,08-01-2022,Carlos Patel,Consumer,Central,Technology,Machines,4565.9,3,0.2,206.03
ORD-16494,01-03-2022,02-03-2022,Fatima Young,Consumer,East,Technology,Machines,298.89,3,0.4,-37.64
ORD-17868,07-11-2023,12-11-2023,Grace Lewis,Corporate,South,Technology,Machines,1645.24,1,0,866.99
ORD-12124,10-06-2024,12-06-2024,Nina Khan,Consumer,South,Office Supplies,Labels,178.14,1,0,16.21
ORD-18136,09-05-2023,11-05-2023,Maria Lewis,Consumer,South,Technology,Copiers,6267.24,5,0.1,741.19
ORD-14409,10-11-2022,13-11-2022,Priya Young,Consumer,South,Office Supplies,Storage,101.81,1,0.15,18.49
ORD-18620,13-09-2022,17-09-2022,Wei Clark,Consumer,South,Office Supplies,Labels,216.99,1,0,78.05
ORD-15541,20-09-2023,22-09-2023,Sara Patel,Consumer,West,Office Supplies,Labels,330.25,2,0.1,25.06
ORD-10761,15-10-2024,16-10-2024,John Brown,Corporate,Central,Office Supplies,Labels,40.77,1,0,5.46
ORD-14772,25-07-2024,27-07-2024,Maria Young,Home Office,East,Furniture,Chairs,427.96,1,0.3,-101.54
ORD-14184,14-02-2023,16-02-2023,John Lee,Corporate,West,Office Supplies,Binders,984.28,5,0.1,188.42
ORD-14812,23-05-2024,28-05-2024,Tom Wilson,Corporate,East,Technology,Phones,808.34,1,0.1,74.64
ORD-12762,07-08-2022,11-08-2022,Mohammed Clark,Corporate,South,Office Supplies,Binders,226.9,2,0.15,-6.67
ORD-17316,23-09-2023,27-09-2023,Nina Lewis,Consumer,West,Office Supplies,Binders,179.24,4,0,65.82
ORD-19036,02-11-2024,04-11-2024,Fatima Rodriguez,Consumer,West,Furniture,Tables,1203.91,2,0.1,153.08
ORD-16693,06-05-2022,08-05-2022,Fatima Chen,Consumer,South,Technology,Phones,3371.82,3,0,-59.59
ORD-13039,17-11-2024,20-11-2024,John Lewis,Consumer,South,Office Supplies,Binders,670.53,3,0,272.58
ORD-12523,11-03-2022,12-03-2022,Tom Rodriguez,Corporate,East,Technology,Machines,2283.39,1,0,-48.77
ORD-12888,10-09-2022,11-09-2022,Anna Clark,Corporate,East,Technology,Accessories,6895.86,3,0,-256.61
ORD-16214,20-12-2023,21-12-2023,Wei Clark,Home Office,South,Technology,Copiers,2505.74,2,0.1,1051.88
ORD-17335,04-08-2023,05-08-2023,Anna Khan,Consumer,CENTRAL,Furniture,Furnishings,241.2,2,0.2,-20.54
ORD-14564,22-04-2024,23-04-2024,Wei Rodriguez,Corporate,West,Technology,Accessories,5070.87,3,0,685.7
ORD-15170,16-05-2023,20-05-2023,Anna Martinez,Consumer,West,Technology,Phones,2947.83,3,0,-169.33
ORD-17294,03-05-2023,06-05-2023,Nina Clark,Consumer,West,Furniture,Bookcases,905.57,1,0.15,-100.82
ORD-18863,19-01-2024,22-01-2024,James Garcia,Corporate,East,Office Supplies,Art,200.84,2,0.5,-43.78
ORD-11999,19-08-2022,21-08-2022,Linda Young,Consumer,Central,Office Supplies,Envelopes,203.34,3,0.15,-28.28
ORD-12335,11-05-2022,13-05-2022,Wei Patel,Consumer,East,Office Supplies,Paper,181.44,4,0,60.91
ORD-12217,11-03-2024,13-03-2024,John Martinez,Corporate,West,Office Supplies,Envelopes,21.22,2,0,5.68
ORD-12367,09-07-2023,10-07-2023,Wei Chen,Corporate,South,Office Supplies,Envelopes,188.7,1,0.15,37.21
ORD-17570,06-11-2022,07-11-2022,Nina Lee,Home Office,West,Furniture,Furnishings,1187.28,2,0,-48.88
ORD-14575,02-02-2024,04-02-2024,Nina Lee,Corporate,West,Office Supplies,Storage,253.35,2,0.1,35.37
ORD-10623,01-11-2023,02-11-2023,Anna Chen,Home Office,East,Technology,Machines,7980.9,4,0.2,949.22
ORD-19537,15-09-2022,17-09-2022,Sara Chen,Corporate,east,Office Supplies,Paper,876.56,4,0,268.57
ORD-11832,06-12-2024,07-12-2024,Kevin Clark,Corporate,West,Office Supplies,Binders,66.83,1,0.4,13.36
ORD-19271,24-04-2024,29-04-2024,Anna Walker,Home Office,West,Office Supplies,Storage,73.27,1,0,20.5
ORD-10232,09-02-2022,10-02-2022,James Brown,Home Office,South,Office Supplies,Binders,344.61,2,0.1,63.67
ORD-15324,01-06-2022,05-06-2022,Kevin Johnson,Home Office,West,Furniture,Tables,1151.24,2,0.15,323.95
ORD-19314,17-06-2022,19-06-2022,Wei Smith,Corporate,East,Furniture,Bookcases,1503.12,2,0.3,24.9
ORD-17050,06-05-2024,08-05-2024,Tom Brown,Consumer,West,Technology,Machines,5278.49,3,0.2,107.74
ORD-13368,05-05-2024,06-05-2024,Mohammed Garcia,Consumer,East,Office Supplies,Labels,228.43,3,0.15,7.91
ORD-14778,16-04-2022,19-04-2022,Wei Young,Home Office,East,Technology,Machines,1417.26,1,0.2,218.64
ORD-13320,19-05-2024,24-05-2024,Sara Khan,Corporate,East,Furniture,Bookcases,941.82,2,0.15,120.19
ORD-17065,09-05-2024,11-05-2024,David Wilson,Consumer,Central,Office Supplies,Envelopes,397.9,5,0,80.74
ORD-14783,22-09-2023,27-09-2023,John Young,Corporate,South,Office Supplies,Art,207.06,3,0,24.46
ORD-13227,20-12-2022,22-12-2022,Grace Martinez,Consumer,South,Furniture,Tables,328.65,1,0,-7.6
ORD-15934,20-08-2023,23-08-2023,James Khan,Corporate,South,Office Supplies,Envelopes,541.76,4,0,33.4
ORD-17513,03-09-2023,08-09-2023,Tom Clark,Home Office,East,Technology,Machines,255.21,1,0.15,36.99
ORD-16098,25-12-2024,29-12-2024,Grace Lewis,Consumer,Central,Technology,Copiers,1126.72,1,0.15,250.05
ORD-16805,06-12-2022,10-12-2022,Priya Clark,Corporate,South,Office Supplies,Envelopes,137.9,1,0.4,-8.43
ORD-18307,01-12-2023,04-12-2023,Nina Young,Consumer,Central,Technology,Phones,1872.4,2,0.3,-66.42
ORD-10175,03-06-2023,04-06-2023,Linda Clark,Corporate,South,Office Supplies,Storage,802.62,6,0.3,50.08
ORD-16199,16-11-2022,23-11-2022,Priya Johnson,Consumer,South,Technology,Accessories,998.27,1,0,307.13
ORD-18530,23-04-2022,26-04-2022,James Lee,Home Office,East,Technology,Copiers,873.74,2,0.2,3.63
ORD-19007,17-05-2022,19-05-2022,Wei Patel,Home Office,East,Furniture,Chairs,332.22,1,0.2,-15.48
ORD-15549,21-09-2022,24-09-2022,Carlos Smith,Home Office,South,Office Supplies,Paper,88.53,1,0,22.86
ORD-13681,14-10-2023,18-10-2023,Mohammed Lewis,Corporate,West,Technology,Accessories,2070.88,1,0,-15.64
ORD-10099,02-04-2024,06-04-2024,Nina Garcia,Consumer,East,Technology,Machines,483.73,2,0.4,55.57
ORD-16141,11-04-2023,15-04-2023,Nina Johnson,Consumer,East,Technology,Accessories,245.32,4,0,7.47
ORD-19138,23-10-2024,26-10-2024,Mohammed Wilson,Consumer,East,Furniture,Tables,1988.57,3,0.4,-628.67
ORD-11741,15-11-2024,18-11-2024,Maria Johnson,Consumer,West,Office Supplies,Binders,260.64,2,0.4,-42.96
ORD-15430,17-12-2022,20-12-2022,Nina Young,Home Office,East,Office Supplies,Art,102.74,4,0.5,-1.94
ORD-14284,19-03-2023,21-03-2023,Wei Wilson,Corporate,West,Technology,Copiers,653.05,1,0.1,15.84
ORD-18866,15-03-2024,17-03-2024,Nina Chen,Corporate,East,Furniture,Furnishings,197.68,1,0.1,13.85
ORD-14376,21-03-2023,23-03-2023,Sara Brown,Home Office,East,Furniture,Furnishings,113.55,1,0.1,-2.11
ORD-10934,23-09-2023,27-09-2023,David Brown,Consumer,central,Office Supplies,Binders,339.91,2,0.3,6.74
ORD-18160,05-11-2023,09-11-2023,Carlos Rodriguez,Consumer,South,Furniture,Chairs,553.58,2,0,-34.9
ORD-10732,08-12-2024,09-12-2024,Nina Clark,Consumer,East,Furniture,Furnishings,1053.33,1,0,457.05
ORD-19113,19-06-2022,21-06-2022,Mohammed Smith,Corporate,East,Furniture,Bookcases,161.24,1,0,2.49
ORD-18906,08-03-2023,10-03-2023,John Lewis,Corporate,East,Office Supplies,Paper,57.12,2,0.4,-2.44
ORD-19132,17-07-2023,19-07-2023,Carlos Patel,Corporate,Central,Technology,Accessories,1159.95,1,0.15,252.22
ORD-13383,13-02-2022,16-02-2022,Sara Johnson,Home Office,West,Furniture,Chairs,1704.68,2,0.15,153.4
ORD-18454,19-04-2024,20-04-2024,Grace Smith,Home Office,Central,Office Supplies,Paper,141.57,1,0.1,27.26
ORD-10173,16-10-2022,17-10-2022,James Walker,Corporate,West,Furniture,Furnishings,555.87,3,0,-23.71
ORD-15950,10-01-2022,14-01-2022,Mohammed Young,Corporate,Central,Technology,Copiers,108.04,2,0.15,28.85
ORD-16084,22-11-2023,26-11-2023,James Clark,Consumer,East,Office Supplies,Binders,7.82,1,0.1,0.53
ORD-15645,07-05-2022,08-05-2022,Fatima Rodriguez,Consumer,West,Furniture,Bookcases,401.28,4,,-134.49
ORD-15053,22-12-2023,27-12-2023,Linda Chen,Corporate,South,Office Supplies,Binders,107.36,1,0.1,10.06
ORD-16945,05-11-2023,07-11-2023,Nina Wilson,Consumer,East,Furniture,Tables,1328.99,4,0.2,-322.09
ORD-16810,26-09-2024,28-09-2024,Mohammed Clark,Consumer,Central,Office Supplies,Art,193.24,1,0.15,-7.06
ORD-14702,26-02-2022,03-03-2022,,Corporate,Central,Office Supplies,Art,151.12,1,0.1,32.38
ORD-15344,09-11-2022,11-11-2022,Linda Garcia,Consumer,West,Office Supplies,Labels,166.42,1,0.3,-3.41
ORD-18632,06-02-2023,08-02-2023,Priya Martinez,Corporate,West,Office Supplies,Paper,146.83,1,0.15,2.35
ORD-11657,18-11-2022,21-11-2022,Nina Davis,Corporate,Central,Technology,Accessories,1345.89,5,0.15,165.39
ORD-15857,19-01-2024,20-01-2024,James Smith,Consumer,east,Technology,Machines,1811.44,2,0,242.15
ORD-11458,13-08-2022,14-08-2022,Nina Patel,Consumer,West,Technology,Phones,2814.33,2,0.15,-580.41
ORD-12568,22-06-2023,29-06-2023,James Brown,Corporate,South,Technology,Accessories,682.3,2,0.2,161.11
ORD-16138,07-06-2024,10-06-2024,David Walker,Home Office,Central,Office Supplies,Envelopes,138.79,1,0,41.23
ORD-13003,03-12-2023,06-12-2023,Grace Brown,Corporate,East,Office Supplies,Paper,269.79,4,0.2,43.36
ORD-17535,15-10-2022,16-10-2022,Anna Garcia,Corporate,West,Technology,Machines,8094.78,4,0.1,-378.53
ORD-10680,07-09-2022,08-09-2022,James Johnson,Consumer,Central,Furniture,Chairs,1751.62,3,0.1,-638.2
ORD-10420,17-06-2023,24-06-2023,Fatima Young,Home Office,South,Office Supplies,Binders,202.18,3,0.1,65.12
ORD-10906,04-09-2024,06-09-2024,Fatima Johnson,Consumer,East,Furniture,Bookcases,487.42,4,0.2,-56
ORD-18408,06-01-2023,10-01-2023,John Davis,Consumer,West,Technology,Machines,1014.8,1,0.2,443.39
ORD-14690,02-04-2024,05-04-2024,Fatima Young,Home Office,South,Furniture,Furnishings,3967.45,5,0,554.43
ORD-18771,21-11-2023,28-11-2023,Sara Khan,Consumer,Central,Office Supplies,Storage,122.92,2,0.3,-8.77
ORD-10796,03-05-2023,05-05-2023,Carlos Garcia,Home Office,West,Office Supplies,Storage,451.12,2,0,40.06
ORD-13117,19-10-2024,21-10-2024,Priya Rodriguez,Corporate,CENTRAL,Office Supplies,Labels,74.36,1,0.3,6.21
ORD-10270,22-02-2023,24-02-2023,Nina Rodriguez,Corporate,East,Technology,Copiers,1468.22,1,0.1,111.27
ORD-18262,13-04-2022,17-04-2022,Carlos Garcia,Corporate,East,Furniture,Furnishings,1659.38,3,0.2,-175.24
ORD-12400,27-12-2022,28-12-2022,Grace Lee,Consumer,West,Office Supplies,Paper,108.32,4,0,11.13
ORD-16928,27-04-2024,29-04-2024,Carlos Young,Home Office,Central,Office Supplies,Art,74.8,2,0.15,5.19
ORD-15029,01-03-2022,03-03-2022,Anna Davis,Consumer,East,Office Supplies,Binders,191.21,6,0.1,67.74
ORD-19233,04-02-2023,08-02-2023,David Rodriguez,Consumer,Central,Furniture,Bookcases,427.95,3,0.1,24.77
ORD-13787,19-12-2023,20-12-2023,Anna Khan,Corporate,East,Technology,Machines,1614.8,2,0.4,-246.28
ORD-11297,04-02-2022,07-02-2022,Nina Clark,Home Office,East,Furniture,Furnishings,2084.27,3,0.1,-142.33
ORD-10507,05-10-2023,07-10-2023,James Young,Consumer,West,Technology,Phones,1470.93,1,0.1,639.8
ORD-19160,08-06-2024,11-06-2024,David Chen,Consumer,Central,Office Supplies,Paper,334.72,5,0.2,62.62
ORD-16414,09-05-2023,12-05-2023,Linda Rodriguez,Corporate,East,Technology,Machines,2808.45,2,0.1,186.27
ORD-10805,24-11-2022,25-11-2022,David Patel,Corporate,Central,Technology,Accessories,1327.04,2,0,335.41
ORD-10052,25-08-2023,30-08-2023,Linda Chen,Corporate,West,Technology,Phones,1943.31,2,0.2,724.22
ORD-13317,21-12-2023,24-12-2023,Priya Clark,Consumer, East ,Technology,Accessories,137.87,1,0,10.07
ORD-16665,27-12-2022,28-12-2022,James Martinez,Home Office,East,Furniture,Bookcases,1253.54,5,0.15,-269.06
ORD-18672,09-03-2023,10-03-2023,David Young,Consumer,East,Technology,Accessories,157.15,2,0.3,-0.62
ORD-18770,12-09-2024,14-09-2024,Nina Davis,Corporate,West,Office Supplies,Binders,106.06,2,0.2,7.45
ORD-13990,08-05-2022,10-05-2022,Priya Garcia,Consumer,South,Office Supplies,Binders,53.91,1,0,12.29
